keys,en,fr,zh-hant
MAINMENU_NEW_GAME,"New game","Nouvelle partie","新游戲"
MAINMENU_LOAD_GAME,"Load game","Charger une partie","加載游戲"
MAINMENU_SETTINGS,"Settings","Paramètres","設置"
MAINMENU_QUIT,"Quit","Quitter","退出游戲"
GAMEMENU_OPMON,"OpMon","OpMon","OpMon"
GAMEMENU_BAG,"Bag","Sac","背包"
GAMEMENU_ENCYCLOPEDIA,"OpDex","OpDex","OpDex"
GAMEMENU_ID,"ID Card","Dresseur","ID卡"
GAMEMENU_SAVE,"Save","Sauvegarde","保存"
GAMEMENU_SETTINGS,"Settings","Paramètres","設置"
STAT_CHANGE_ATK,"attack","L'attaque","攻擊"
STAT_CHANGE_DEF,"defense","La défense","防禦"
STAT_CHANGE_ATKSPE,"special attack","L'attaque spéciale","特殊攻擊"
STAT_CHANGE_DEFSPE,"special defense","La défense spéciale","特殊防禦"
STAT_CHANGE_SPE,"speed","La vitesse","速度"
STAT_CHANGE_EVA,"evasion","L'esquive","閃避"
STAT_CHANGE_HP,"maximum HP","Le maximum de PV","最大HP"
STAT_CHANGE_ACC,"accuracy","La précision","準確度"
STAT_CHANGE_LOWER,"has lowered","a baissé","被降低"
STAT_CHANGE_HIGHER,"has increased","a augmenté","被提升"
STAT_CHANGE_DIALOG,"{opmon}’s {stat} {change}!","{stat} de {opmon} {change} !","{opmon} 的 {stat} {change}!"
HEAL_PARTIAL_DIALOG,"{opmon} recovered {hp} HP!","{opmon} a récupéré {hp} PV !","{opmon} 回復了 {hp} HP!"
HEAL_FULL_DIALOG,"{opmon} fully recovered!","{opmon} à récupéré tous ses PV !","{opmon} 完全回復了!"
BATTLE_MOVE_FAILED,"But the move failed!","Mais l’attaque a échoué !","但此舉失敗了!"
BATTLE_MOVE_USE,"{opmon} uses {move}!","{opmon} utilise {move} !","{opmon} 使用了 {move}!"
BATTLE_BASEDIALOG_FILLER," What should {opmon} do?"," Que doit faire {opmon} ?","{opmon} 該做什麼?"
BATTLE_BASEDIALOG_MOVES,"Moves","Capacités","技能"
BATTLE_BASEDIALOG_OPMON,"OpMon","OpMon","OpMon"
BATTLE_BASEDIALOG_ITEMS,"Items","Sac","道具"
BATTLE_BASEDIALOG_RUN,"Run","Fuite","拽露"
BATTLE_KO,"{opmon} is KO!","{opmon} est KO !","{opmon} 被打倒了!"
MOVE_EFFECTIVENESS_NONE,"But it's ineffective...","Mais c'est inefficace...","但這沒有效果......"
MOVE_EFFECTIVENESS_VERYLOW,"It's barely effective...","C’est à peine efficace...","效果有點勉强......"
MOVE_EFFECTIVENESS_LOW,"It's not very effective...","Ce n’est pas très efficace...","不是非常有效果......"
MOVE_EFFECTIVENESS_HIGH,"It's super effective!","C’est super efficace !","這非常有效!"
MOVE_EFFECTIVENESS_VERYHIGH,"It’s hyper effective!","C’est hyper efficace !","這超級有效!"
EUVITOWN_KID_DIALOG_0,"Hey, I like shorts!","Hey, j'aime les shorts !","嘿,我喜歡短褲!"
EUVITOWN_KID_DIALOG_1,"... I don't know why I said that.","... Je sais pas pourquoi j'ai dit ça.","......我不知道我為什麼這麼說。"
EUVITOWN_FIELD_SIGN_0,"Flower battlefield","Terrain de combat fleuri","花開沙場"
EUVITOWN_DESCRIPTION_SIGN_0,"Euvi Town: a recent town in a peaceful cove.","Faubourg Euvi: un village récent au sein d'une crique tranquille.","尤維鎮(Euvi Town):位於寧靜海灣的一座新建小鎮。"
EUVITOWN_PLAYER_MAILBOX_0,"Your home.","Chez toi.","你的家。"
EUVITOWN_RIVAL_MAILBOX_0,"Someone's home.","Chez quelqu'un.","某人的家。"
EUVITOWN_KIWAI_MAILBOX_0,"Professor Kiwaï's laboratory.","Laboratoire du Professeur Kiwaï.","Kiwaï 教授的實驗室。"
MOVENAME_GROWL,"Growl","Rugissement","咆哮"
MOVENAME_HARDEN,"Harden","Armure","硬化"
MOVENAME_TACKLE,"Tackle","Charge","撞擊"
MOVENAME_VINE_WHIP,"Vine Whip","Fouet Lianes","藤條"
MOVENAME_EMBER,"Ember","Flammèche","餘燼"
MOVENAME_WATER_GUN,"Water Gun","Pistolet à O","水槍"
OPNAME_CARNAPPLE,"Carnapple","Carnipomme","卡納普爾"
OPNAME_FURNURUS,"Furnurus","Oursiflamme","弗諾魯斯"
OPNAME_ROSARIN,"Rosarin","Rosarin","羅薩林"
OPNAME_NANOLPHIN,"Nanolphin","Nanophin","奈米海豚"
ITEMNAME_XATTACK,"X Attack","Attaque +","X 攻擊"
ITEMNAME_POTION,"Potion","Potion","藥水"
ITEMNAME_GENERICITEM,"Generic Item","Objet générique","通常道具"
ITEMDESC_XATTACK,"Increases attack stat","Augmente la statistique d'attaque","攻擊提升統計"
ITEMDESC_POTION,"Heals 20 HP","Soigne 20 PV","回復了20HP"
ITEMDESC_GENERICITEM,"Shows text","Affiche du texte","顯示文本"
ITEMMENU_USE,"Use","Utiliser","使用"
ITEMMENU_THROW,"Throw","Jeter","投擲"
ITEM_GENERICITEM_0,"Generic item.","Objet générique.","通常道具。"
BAG_CANTUSE_0,"Can't use this right now!","Ce n'est pas le moment !","目前還不能使用這個!"

